Rank;Most commonly-assigned gender;Proportion in males;Name;Incidence
1;F;0;Maria;14,524,659
2;M;100;José;8,002,933
3;M;100;João;3,810,830
4;M;100;Antônio;3,642,848
5;F;0;Ana;3,193,410
6;M;100;Francisco;2,609,321
7;M;100;Luiz;1,798,775
8;M;100;Carlos;1,692,417
9;M;100;Paulo;1,632,663
10;M;100;Pedro;1,534,904
11;M;100;Manoel;1,342,227
12;M;100;Marcos;1,111,742
13;M;100;Lucas;1,056,387
14;F;0;Francisca;989,572
15;M;100;Raimundo;933,628
16;M;100;Gabriel;842,001
17;M;100;Rafael;795,944
18;F;0;Antônia;781,621
19;M;100;Marcelo;757,651
20;M;100;Sebastião;743,616
21;M;100;Daniel;741,817
22;M;100;Luis;704,760
23;M;100;Eduardo;660,022
24;M;100;Bruno;638,485
25;M;100;Rodrigo;625,940
26;M;100;Fernando;610,235
27;M;100;Jorge;602,308
28;F;0;Adriana;593,616
29;M;100;André;592,905
30;M;100;Fábio;572,060
31;M;100;Matheus;571,814
32;F;3;Marcia;568,235
33;M;100;Leonardo;564,086
34;M;100;Guilherme;557,160
35;F;0;Juliana;544,314
36;F;0;Fernanda;525,861
37;M;100;Leandro;525,188
38;M;100;Felipe;524,992
39;M;100;Ricardo;512,118
40;M;100;Márcio;511,222
41;F;2;Patrícia;511,095
42;M;100;Edson;504,943
43;F;3;Sandra;502,272
44;M;100;Roberto;500,631
45;M;100;Gustavo;498,881
46;M;100;Anderson;498,571
47;M;100;Alexandre;494,762
48;M;100;Geraldo;490,756
49;M;100;Thiago;490,708
50;F;0;Aline;475,729
51;F;0;Josefa;449,766
52;F;0;Jéssica;446,805
53;M;98;Luciana;442,644
54;F;0;Julia;440,801
55;M;100;Sergio;440,168
56;M;100;Miguel;438,765
57;F;0;Amanda;436,810
58;M;100;Joaquim;427,451
59;F;0;Bruna;425,674
60;F;0;Raimunda;415,072
61;F;0;Vanessa;409,727
62;F;2;Rita;405,836
63;F;2;Vera;396,471
64;M;100;Diego;394,563
65;F;0;Camila;388,246
66;M;100;Claudio;379,496
67;M;100;Julio;378,709
68;M;100;Davi;377,592
69;F;0;Letícia;377,145
70;F;3;Sonia;374,677
71;M;100;Luciano;371,994
72;F;0;Rosa;371,490
73;F;100;Terezinha;368,899
74;F;0;Mariana;366,411
75;M;100;Benedito;362,223
76;F;0;Beatriz;361,792
77;F;2;Simone;360,458
78;M;100;Adriano;359,712
79;M;100;Mario;359,660
80;M;100;Vinicius;359,046
81;M;100;Renato;356,747
82;F;0;Eliane;354,875
83;F;2;Renata;348,516
84;F;0;Claudia;344,727
85;F;0;Larissa;340,465
86;M;100;Tiago;334,948
87;M;100;Arthur;332,583
88;F;0;Cristiane;329,597
89;M;100;Alex;328,009
90;M;100;Samuel;326,601
91;F;1;Rosângela;325,957
92;F;0;Joana;325,884
93;F;0;Gabriela;321,605
94;F;1;Marlene;319,495
95;F;0;Luana;318,566
96;M;100;Cicero;318,323
97;M;100;Victor;315,993
98;F;0;Luzia;312,448
99;F;0;Aparecida;306,857
100;M;100;Vitor;304,562
101;F;0;Angela;301,878
102;F;0;Fabiana;298,612
103;M;100;Rogerio;297,412
104;M;100;Ronaldo;296,371
105;F;0;Alice;288,749
106;M;100;Flavio;285,385
107;F;0;Daniela;284,739
108;M;100;Nelson;284,400
109;M;100;Douglas;284,213
110;F;0;Luiza;282,881
111;M;100;Mateus;280,573
112;F;0;Laura;280,251
113;F;0;Helena;278,659
114;F;0;Raquel;278,637
115;F;0;Carla;276,133
116;F;2;Lucia;274,747
117;F;4;Regina;274,671
118;M;100;Severino;272,512
119;F;0;Andreia;271,146
120;F;0;Alessandra;269,807
121;F;0;Debora;268,533
122;M;100;Reginaldo;266,478
123;M;100;Gilberto;264,950
124;F;0;Vitoria;262,183
125;M;100;Robson;261,624
126;M;100;Henrique;261,208
127;M;100;Wilson;257,598
128;F;0;Elaine;257,361
129;F;0;Jaqueline;256,352
130;M;100;Mauricio;247,388
131;M;100;Marco;245,587
132;F;0;Thais;244,525
133;F;0;Priscila;239,900
134;M;100;Elias;233,715
135;F;0;Anna;232,028
136;F;0;Natalia;231,771
137;M;100;Tereza;229,678
138;M;100;David;229,584
139;F;0;Flavia;228,206
140;M;100;Domingos;227,068
141;F;0;Rafaela;226,679
142;F;0;Andrea;224,695
143;F;1;Marina;223,663
144;F;0;Viviane;222,618
145;F;2;Silvana;222,286
146;F;0;Edna;221,093
147;M;100;Igor;220,699
148;M;100;Wellington;219,713
149;M;100;Danilo;216,765
150;F;0;Paula;213,474
151;M;100;Cristiano;210,110
152;M;100;Vicente;210,079
153;F;2;Solange;209,735
154;M;100;Jefferson;209,409
155;F;0;Bianca;207,548
156;F;4;Silvia;207,024
157;F;2;Marta;204,883
158;F;2;Sueli;203,830
159;F;4;Mônica;203,101
160;F;0;Isabel;201,934
161;M;100;Osvaldo;200,233
162;M;100;Valdir;200,007
163;F;0;Tatiane;197,494
164;M;100;Emerson;194,108
165;M;100;Mauro;192,302
166;M;100;Jean;192,085
167;M;100;Wagner;191,505
168;F;0;Sebastiana;190,888
169;M;100;Wesley;190,427
170;M;100;Adilson;190,214
171;F;0;Eliana;189,664
172;F;0;Celia;188,474
173;F;0;Janaina;187,132
174;F;0;Eva;186,389
175;M;100;Gilmar;186,300
176;F;3;Rosana;185,279
177;M;100;Caio;184,474
178;M;100;Milton;184,126
179;M;100;Marli;183,576
