Nome;Ranking;Incidencia
서연;1;35647
서윤;2;34342
지우;3;30009
서현;4;29070
민서;5;27935
하은;6;26936
하윤;7;25992
윤서;8;23692
지유;9;22862
지민;10;22707
채원;11;22157
지윤;12;20891
은서;13;20830
수아;14;20778
다은;15;20302
예은;16;19516
지아;17;18613
수빈;18;18544
소율;19;18041
예린;20;17547
예원;21;17400
지원;22;17077
소윤;23;16681
지안;24;16170
하린;25;15480
시은;26;15367
유진;27;15259
채은;28;14683
윤아;29;14365
유나;30;14284
가은;31;14238
서영;32;13902
민지;33;13686
예진;34;13514
서아;35;13465
수민;36;13176
수연;37;12900
연우;38;12813
예나;39;12697
예서;40;12387
주아;41;12293
시연;42;11820
연서;43;11598
하율;44;11456
다인;45;11309
다연;46;11038
시아;47;10976
아인;48;10924
현서;49;10856
서은;50;10731
유주;51;10674
아린;52;10578
서우;53;10475
하연;54;10287
서율;55;10268
서진;56;10247
채윤;57;10238
유빈;58;10166
지율;59;10114
나윤;60;10015
수현;61;9988
예지;62;9809
다현;63;9722
소은;64;9056
나은;65;9027
나연;66;9024
지은;67;9003
민주;68;8936
아윤;69;8837
사랑;70;8833
시현;71;8747
예빈;72;8714
윤지;73;8682
서하;74;8667
지현;75;8564
소연;76;8524
혜원;77;8137
지수;78;8108
은채;79;8106
주하;80;8050
채아;81;7827
승아;82;7800
다윤;83;7554
소민;84;7502
서희;85;7402
나현;86;7365
민아;87;7355
채린;88;7332
하영;89;7288
세아;90;7238
세은;91;7214
도연;92;7112
규리;93;7091
아영;94;7075
다온;95;6778
가윤;96;6679
지연;97;6670
예림;98;6626
태희;99;6460
민채;100;6444
주은;101;6408
시윤;102;6347
유정;103;6318
연아;104;6258
소현;105;6179
아현;106;6167
보민;107;6159
민정;108;6148
수진;109;6015
현지;110;6014
민경;111;5928
정원;112;5889
나경;113;5871
가현;114;5835
세연;115;5686
은지;116;5657
윤하;117;5649
가연;118;5648
지효;119;5624
가온;120;5482
라희;121;5377
예슬;122;5317
채연;123;5283
한별;124;5247
현아;125;5179
하늘;126;5096
소희;127;5070
효주;128;4950
유림;129;4949
유하;130;4931
채민;131;4835
은솔;132;4832
봄;133;4779
주연;134;4724
가영;134;4724
예주;136;4714
소이;137;4703
유리;138;4624
혜린;139;4589
하진;140;4585
다희;141;4571
하랑;142;4521
하나;143;4450
태연;144;4444
설아;145;4439
윤슬;146;4432
은우;147;4413
하람;148;4403
다혜;149;4395
다솜;150;4370
혜인;151;4359
지혜;152;4348
유민;153;4342
재인;154;4329
승연;155;4311
다빈;156;4282
수인;157;4265
재이;158;4239
지영;159;4229
수정;160;4188
리아;161;4184
시온;162;4138
은유;163;4127
채영;164;4116
주원;165;4086
고은;166;4038
태린;167;4034
태은;168;3992
지후;169;3972
아라;170;3912
민하;171;3846
나영;171;3846
수지;173;3844
소영;174;3830
단아;175;3730
은별;176;3727
서인;177;3702
보경;178;3664
다영;179;3651
주희;180;3615
가빈;181;3611
채현;182;3608
정민;183;3560
예솔;184;3528
시우;185;3455
효린;186;3451
지온;187;3441
정윤;188;3397
소정;189;3384
라온;190;3381
은재;191;3376
세빈;192;3369
한나;193;3348
연재;194;3338
채이;195;3334
서빈;196;3324
예담;197;3305
슬아;198;3277
아진;199;3267
해인;200;3261
아연;201;3254
연주;202;3225
도희;203;3223
보미;204;3222
예인;205;3197
지호;206;3189
나율;207;3188
서정;208;3178
다원;209;3172
하음;210;3143
정연;211;3135
별;212;3125
은빈;213;3121
다율;214;3114
서원;215;3070
율;216;3063
세인;217;3062
효은;218;3061
연지;219;3040
준희;220;3031
재희;221;3029
지인;222;3000
채희;222;3000
도은;224;2998
은비;225;2953
다경;226;2951
리원;227;2926
