Nome;Posicao;Incidencia
민준;1;38305
서준;2;34644
예준;3;28109
도윤;4;28101
시우;5;26027
주원;6;25307
하준;7;24266
지호;8;23940
지후;9;23151
준서;10;22310
준우;11;21725
현우;12;21191
도현;13;20663
지훈;14;20629
건우;15;20623
우진;16;19693
선우;17;17041
서진;18;16727
민재;19;16606
현준;20;16430
연우;21;15936
유준;22;15348
정우;23;14745
승우;24;13588
승현;25;13551
시윤;26;13492
준혁;27;13431
은우;28;13405
지환;29;13404
승민;30;12438
지우;31;12372
유찬;32;12357
윤우;33;11806
민성;34;11801
준영;35;11483
시후;36;11399
진우;37;11322
지원;38;11033
수현;39;10895
재윤;40;9489
시현;41;9427
동현;42;9393
수호;43;9324
태윤;44;9171
민규;45;9029
재원;46;8877
한결;47;8875
민우;48;8845
재민;49;8685
은찬;50;8680
윤호;51;8615
시원;52;8593
이준;53;8581
민찬;54;8356
지안;55;7971
시온;56;7878
성민;57;7852
준호;58;7727
승준;59;7702
성현;60;7667
이안;61;7582
현서;62;7502
재현;63;7434
하율;64;7363
지한;65;7296
우빈;66;7271
태민;67;7251
지성;68;7249
예성;69;7219
민호;70;7183
태현;71;7173
지율;72;7149
민혁;73;7103
서우;74;7085
성준;75;6895
은호;76;6882
규민;77;6766
정민;78;6738
준;79;6707
지민;80;6696
윤성;81;6671
율;82;6563
윤재;83;6533
하람;84;6394
하진;85;6393
민석;86;6356
준수;87;6349
은성;88;6296
태양;89;6266
예찬;90;6247
준희;91;6105
도훈;92;5958
하민;93;5836
준성;94;5688
건;95;5673
지완;96;5610
현수;97;5603
승원;98;5565
강민;99;5540
정현;100;5488
우주;101;5468
태준;102;5442
승호;103;5354
주호;104;5342
성빈;105;5251
주안;106;5193
민서;107;5133
도영;108;5071
우현;109;4997
민수;110;4939
건희;111;4929
주환;112;4922
하랑;113;4914
다온;114;4884
정훈;115;4848
원준;116;4832
시율;117;4767
시훈;118;4734
지오;119;4682
민기;120;4613
현민;121;4608
시완;122;4594
경민;123;4580
서율;124;4520
현성;125;4515
승윤;126;4490
주영;127;4449
동하;128;4442
태훈;129;4297
민건;130;4296
도율;131;4271
동건;132;4247
재훈;133;4219
태영;134;4198
호준;135;4192
승빈;136;4164
가온;137;4156
재준;138;4121
시환;139;4103
세현;140;4043
태경;141;4021
이현;142;4004
도원;143;3947
도경;144;3935
정후;145;3912
현진;146;3910
재영;147;3903
정원;148;3891
서후;149;3871
현승;150;3853
찬영;151;3851
라온;151;3851
영준;153;3850
상현;154;3845
범준;155;3833
윤;156;3829
온유;157;3811
승훈;158;3792
성윤;159;3769
현;160;3761
재하;161;3755
로운;162;3722
주혁;163;3719
찬우;164;3680
이든;165;3666
연준;166;3660
하윤;167;3659
우성;168;3630
동윤;169;3621
성훈;170;3609
승재;171;3587
찬희;172;3540
지혁;173;3525
건호;174;3519
세준;175;3506
동욱;176;3481
태율;177;3464
수민;178;3460
태호;179;3443
유건;180;3436
승찬;181;3411
도하;182;3384
윤찬;183;3383
단우;184;3350
태우;185;3348
산;186;3338
현호;187;3332
윤후;188;3316
현빈;189;3299
시안;190;3268
찬;191;3266
재우;192;3262
준석;193;3255
지운;194;3247
주현;195;3208
형준;196;3202
연호;197;3189
효준;198;3179
재혁;199;3169
성우;200;3137
규빈;201;3130
주완;202;3127
주한;203;3126
동우;204;3124
하늘;205;3099
수혁;206;3095
재희;207;3093
시헌;208;3084
상윤;209;3043
우찬;210;3036
유빈;211;2987
진호;212;2976
유현;213;2970
석현;214;2944
우영;215;2938
준형;216;2920
도연;217;2897
윤서;218;2894
유진;219;2887
서원;220;2883
지용;221;2865
용준;222;2843
규현;223;2832
준후;224;2816
동준;225;2813
은율;226;2810
도준;227;2793
호진;228;2763
강현;229;2759
태인;230;2720
진혁;231;2706
상우;232;2696
우준;233;2680
은준;234;2679
승후;235;2677
시호;236;2671
지웅;237;2669
승환;238;2659
은혁;239;2640
동훈;240;2626
유민;241;2624
하온;242;2593
성원;243;2576
도진;244;2571
승주;245;2568
대현;246;2559
영민;246;2559
서윤;248;2536
종현;249;2531
세훈;250;2504
도겸;251;2503
서호;252;2499
현석;253;2490
신우;254;2485
재호;255;2475
준현;256;2462
원우;257;2451
강우;258;2445
승유;259;2444
상민;260;2430
태환;261;2405
은수;262;2403
선호;263;2390
준원;264;2387
민결;265;2380
정빈;266;2374
태오;267;2368
동혁;268;2359
영우;269;2341
아인;270;2306
유안;271;2304
동규;272;2300
진서;273;2289
태성;274;2264
혜성;275;2259
유성;275;2259
요한;277;2243
성진;278;2225
여준;279;2217
윤건;280;2197
인우;281;2190
태건;282;2187
주형;283;2151
우혁;284;2115
희찬;285;2111
한율;286;2106
하성;287;2097
준범;288;2094
찬민;289;2092
서현;290;2084
정호;291;2068
윤수;292;2066
민제;293;2052
성호;294;2051
인성;295;2042
건후;296;2031
경준;297;2029
희준;298;2027
상준;299;2022
승혁;300;2016
재이;301;2015
태원;302;2009
준민;303;2005
재율;304;1997
민승;305;1987
태웅;306;1986
채민;307;1984
한울;308;1981
승헌;308;1981
재성;310;1977
시준;311;1973
진영;312;1967
환희;313;1950
선율;314;1939
호연;315;1926
세윤;315;1926
승기;317;1903
세진;318;1893
성재;319;1890
태하;320;1878
주성;321;1877
호영;322;1860
가람;323;1854
다원;324;1837
찬율;325;1831
현규;326;1827
규원;327;1806
이한;328;1796
연후;329;1790
현욱;330;1789
준하;331;1777
시영;332;1773
희성;333;1761
정윤;334;1751
진욱;334;1751
지윤;336;1739
창민;337;1734
지온;338;1733
지섭;339;1725
해준;340;1721
정환;341;1719
민;342;1717
건율;343;1700
은재;344;1697
찬혁;345;1693
동연;346;1677
유하;347;1673
노아;348;1672
성찬;349;1664
세민;350;1663
서빈;351;1656
우석;352;1654
영훈;353;1634
도형;354;1626
준기;355;1622
윤준;356;1613
지석;357;1612
로이;358;1608
인호;359;1603
은후;360;1600
명준;361;1591
상훈;362;1587
기현;363;1586
수빈;364;1569
재형;365;1560
아준;366;1559
해성;366;1559
민후;368;1532
진성;369;1529
주하;370;1527
시언;371;1526
시형;372;1509
상원;373;1507
태연;374;1505
도건;375;1503
재인;376;1498
준휘;377;1491
동민;378;1489
한준;379;1485
다니엘;380;1476
기범;380;1476
주헌;382;1475
재용;383;1466
수환;384;1465
원;385;1461
태규;386;1457
선재;387;1443
영재;388;1442
영진;389;1440
주찬;389;1440
지수;391;1429
동호;392;1424
우재;393;1420
승범;394;1419
동원;395;1405
한별;396;1399
건영;397;1392
진;398;1390
승연;399;1389
도헌;400;1379
한솔;401;1374
유담;402;1370
예건;403;1363
환;404;1360
은결;405;1351
민율;406;1348
민욱;407;1346
지헌;408;1323
석준;409;1319
준모;410;1317
현재;411;1313
결;412;1310
강;413;1305
이수;414;1301
재범;415;1299
리안;415;1299
재환;417;1297
찬유;417;1297
호윤;419;1283
해솔;420;1277
태희;421;1273
건하;422;1265
상혁;423;1263
성욱;424;1261
영찬;425;1258
동환;425;1258
진원;427;1243
하빈;428;1242
준환;429;1241
재욱;430;1239
경훈;431;1236
준상;432;1233
서하;433;1231
하루;434;1228
연수;434;1228
예담;436;1227
수찬;437;1223
도균;438;1220
강준;438;1220
태이;440;1214
훈;441;1209
형우;442;1189
승규;443;1186
재빈;444;1169
도운;445;1168
종혁;445;1168
찬호;447;1166
근우;447;1166
윤혁;449;1164
유신;450;1163
