Rank;Most commonly-assigned gender;Proportion in males;Name;Incidence
1;F;28;Ji-u;40,205
2;M;100;Min-Jun;37,094
3;F;7;Seo-Yun;35,207
4;F;0;Seo-Yeon;34,676
5;F;15;Min-Seo;32,375
6;M;100;Seo-Jun;31,917
7;F;6;Seo-Hyeon;30,367
8;F;21;Ji-Min;28,443
9;M;85;Ju-Won;28,060
10;F;38;Ji-Won;27,546
11;F;12;Ha-Yun;27,315
12;M;99;Ye-jun;27,126
13;M;87;Si-U;27,046
14;M;94;Do-Yun;26,928
15;M;53;Yeon-u;26,604
16;M;84;Ji-Hu;26,002
17;F;11;Yun-Seo;25,783
18;M;60;Seo-Jin;25,551
19;F;1;Ha-Eun;25,321
20;M;87;Ji-Ho;25,072
21;F;4;Ji-Yu;22,352
22;F;7;Ji-Yun;22,151
23;M;100;Ha-Jun;22,065
24;M;98;Jun-Seo;22,049
25;F;2;Chae-Won;21,954
26;F;33;Ji-An;20,767
27;F;1;Eun-Seo;20,564
28;M;100;Jun-U;20,482
29;M;99;Hyeon-u;20,389
30;M;51;Su-Hyeon;20,309
31;M;96;Do-Hyeon;20,122
32;M;100;Ji-Hun;19,981
33;F;7;Su-Bin;19,829
34;F;1;Su-A;19,354
35;F;0;Da-Eun;19,191
36;M;100;Geon-u;18,985
37;F;0;Ye-Eun;18,976
38;M;98;U-Jin;18,804
39;M;66;Si-Yun;18,330
40;M;86;Seon-U;18,195
41;F;40;Hyeon-Seo;17,967
42;F;2;So-yul;17,395
43;F;15;Yu-Jin;17,284
44;F;1;Ye-Won;17,222
45;M;50;Si-Hyeon;17,210
46;F;0;Ji-A;17,125
47;F;39;Ha-yul;17,081
48;M;96;Min-Jae;16,818
49;F;0;Ye-Rin;16,560
50;F;20;Su-Min;16,402
51;M;100;Hyeon-jun;16,176
52;F;0;So-Yun;16,061
53;F;41;Ji-Yul;16,017
54;F;39;Seo-u;15,508
55;M;71;Eun-u;15,041
56;M;88;Seung-Hyeon;15,004
57;F;1;Si-Eun;14,653
58;M;99;Jeong-U;14,302
59;F;1;Seo-Yeong;13,877
60;F;0;Chae-Eun;13,838
61;F;0;Ga-Eun;13,822
62;F;1;Ha-rin;13,796
63;F;0;Ye-Na;13,793
64;F;30;Seo-yul;13,736
65;M;100;Yu-Jun;13,591
66;F;0;Min-Ji;13,539
67;F;0;Yun-A;13,445
68;F;0;Ye-Jin;13,259
69;M;100;Jun-Hyeok;13,155
70;M;100;Seung-U;13,058
71;F;0;Yu-Na;13,002
72;F;2;Su-Yeon;12,953
73;M;100;Ji-Hwan;12,918
74;M;95;Seung-Min;12,753
75;F;22;Yu-Bin;12,707
76;F;16;A-in;12,078
77;M;97;Min-Seong;11,855
78;F;2;Ye-seo;11,814
79;M;100;Yu-Chan;11,769
80;F;3;Si-Yeon;11,758
81;M;98;Jun-Yeong;11,702
82;F;2;Yeon-Seo;11,409
83;F;0;Ju-A;11,388
84;M;96;Si-hu;11,253
85;M;96;Yun-u;11,144
86;M;64;Si-On;10,994
87;F;0;Seo-a;10,868
88;M;99;Jin-U;10,866
89;F;3;Da-In;10,622
90;F;0;Da-Yeon;10,536
91;F;6;Chae-yun;10,196
92;M;64;Jeong-Min;10,186
93;F;0;Seo-Eun;10,143
94;M;57;Ha-Ram;10,133
95;M;56;Ha-Jin;10,089
