Rank;Surname;Incidence;Frequency
1;Kim;11,028,664;1:5
2;I;7,531,600;1:7
3;Pak;4,289,612;1:12
4;Chong;2,450,659;1:21
5;Choe;2,399,473;1:21
6;Cho;1,500,937;1:34
7;Kang;1,298,721;1:39
8;Yu;1,158,039;1:44
9;Yun;1,058,481;1:48
10;Chang;1,044,140;1:49
11;Im;1,031,471;1:50
12;Sin;1,003,943;1:51
13;Song;916,186;1:56
14;Chon;878,710;1:58
15;So;816,565;1:63
16;Han;807,058;1:63
17;O;799,618;1:64
18;Hwang;713,037;1:72
19;Kwon;712,875;1:72
20;An;711,749;1:72
21;Hong;589,260;1:87
22;Yang;539,120;1:95
23;Son;497,980;1:103
24;Ko;481,993;1:106
25;Mun;472,286;1:108
26;Pae;414,402;1:124
27;Paek;387,351;1:132
28;Ho;341,792;1:150
29;No;319,888;1:160
30;Chu;298,938;1:171
31;Nam;283,628;1:181
32;Sim;279,997;1:183
33;Ha;236,946;1:216
34;Ku;214,187;1:239
35;Kwak;207,818;1:247
36;Cha;203,973;1:251
37;U;197,937;1:259
38;Na;189,671;1:270
39;Chin;187,574;1:273
40;Min;178,995;1:286
41;Chi;164,587;1:311
42;Pyon;162,813;1:315
43;Om;147,080;1:348
44;Won;137,795;1:372
45;Pang;134,680;1:380
46;Chae;130,895;1:391
47;Kong;96,625;1:530
48;Hyon;90,764;1:565
49;Ham;85,403;1:600
50;Yo;82,290;1:623
51;Yom;71,240;1:719
52;Sok;61,099;1:839
53;Lee;59,918;1:855
54;To;59,531;1:861
55;Sol;45,330;1:1,130
56;Ma;39,586;1:1,294
57;Yon;36,522;1:1,403
58;Kil;35,567;1:1,441
59;Park;33,250;1:1,541
60;Wi;33,027;1:1,551
61;Pyo;31,786;1:1,612
62;Ki;30,019;1:1,707
63;Pan;29,477;1:1,738
64;Myong;28,861;1:1,775
65;Wang;26,521;1:1,932
66;Ok;26,494;1:1,934
67;Kum;25,289;1:2,026
68;In;23,705;1:2,162
69;Maeng;23,351;1:2,194
70;Yuk;23,125;1:2,216
